team,stats_team,region,seed,slot,play_in,play_in_group,games,win_pct,ppg,opp_ppg,scoring_margin,fg_pct,three_pt_pct,ft_pct,reb_pg,ast_pg,to_pg,ast_to_ratio,srs,sos,pace,off_rtg,ts_pct,trb_pct,ast_pct,efg_pct,tov_pct,orb_pct,power_rating
Saint Louis,Saint Louis,Midwest,9,R64_M2,False,,33,84.8,87.2,69.5,17.700000000000003,50.91,40.09,74.41,39.94,18.3,12.5,1.47,17.27,1.52,72.0,121.1,62.6,55.2,60.0,60.0,15.2,32.0,114.18496801696674
Santa Clara,Santa Clara,Midwest,10,R64_M7,False,,34,76.5,82.9,72.4,10.5,46.8,34.61,73.56,35.71,16.8,10.8,1.55,15.88,6.06,69.7,118.9,56.99999999999999,51.8,55.2,54.6,13.0,36.7,102.42074781547326
Miami (Ohio),Miami (OH),Midwest,11,R64_M5,True,M11,32,96.9,90.7,75.3,15.400000000000006,52.44,39.16,74.87,35.47,16.1,10.5,1.54,5.37,-5.49,72.1,123.9,64.0,51.4,51.5,61.199999999999996,12.9,26.4,111.55052569400192
SMU,SMU,Midwest,11,R64_M5,True,M11,33,60.6,84.2,77.6,6.6000000000000085,49.01,37.45,74.13,37.7,16.9,11.3,1.5,17.27,10.66,70.7,118.2,58.599999999999994,52.5,55.1,55.7,13.6,35.4,100.75321815318725
Akron,Akron,Midwest,12,R64_M3,False,,34,85.3,88.4,73.5,14.900000000000006,50.25,37.9,75.37,38.06,18.4,10.9,1.69,9.04,-3.33,71.8,123.1,61.199999999999996,53.5,57.5,58.8,13.2,34.0,110.85530759042203
Hofstra,Hofstra,Midwest,13,R64_M4,False,,34,70.6,75.6,66.1,9.5,44.19,36.76,74.65,39.26,12.8,10.6,1.21,4.48,-2.46,65.6,114.4,55.7,53.7,49.0,52.2,13.5,35.5,92.78800538024956
Wright State,Wright St.,Midwest,14,R64_M6,False,,34,67.6,80.7,73.4,7.299999999999997,48.85,36.13,73.57,35.41,13.8,11.3,1.22,0.12,-4.44,69.0,116.5,58.3,53.1,48.1,54.900000000000006,14.0,34.2,92.03448414683538
Tennessee State,Tennessee St.,Midwest,15,R64_M8,False,,32,71.9,80.5,73.3,7.200000000000003,45.96,33.12,76.51,38.0,13.2,12.2,1.08,-4.54,-8.68,72.0,111.5,55.1,53.0,45.6,51.0,14.3,35.4,85.22417582336921
Howard,Howard,Midwest,16,R64_M1,True,M16,33,69.7,77.5,67.8,9.700000000000003,45.87,34.54,73.07,36.58,16.2,13.5,1.2,-4.64,-11.85,69.9,110.4,56.2,53.6,62.2,51.7,16.4,37.2,86.52593307691333
UMBC,UMBC,Midwest,16,R64_M1,True,M16,32,75.0,76.2,67.0,9.200000000000003,47.13,36.12,76.21,35.47,12.2,9.6,1.27,-4.4,-11.86,66.9,113.0,57.699999999999996,51.8,45.2,54.2,12.7,25.6,90.26688287471904
Florida,Florida,South,1,R64_S1,False,,33,78.8,86.8,72.0,14.799999999999997,47.81,30.8,70.96,45.42,16.6,11.9,1.39,27.9,13.11,72.5,119.8,56.8,59.5,54.0,53.5,13.5,43.2,110.66823422610308
Houston,Houston,South,2,R64_S8,False,,34,82.4,77.1,62.9,14.199999999999996,44.97,34.93,77.17,36.59,14.7,8.5,1.73,26.23,11.93,64.9,118.4,55.400000000000006,52.2,52.9,52.1,10.9,35.9,109.51568896272212
Illinois,Illinois,South,3,R64_S6,False,,32,75.0,84.4,69.8,14.600000000000009,46.27,34.69,78.87,40.66,14.7,8.9,1.65,26.45,11.89,66.2,125.5,58.8,56.7,51.2,55.1,11.0,38.7,114.67805666626478
Nebraska,Nebraska,South,4,R64_S4,False,,32,81.2,77.3,66.2,11.099999999999994,46.5,35.25,75.0,34.91,18.0,9.8,1.84,21.54,10.48,67.3,114.0,58.099999999999994,50.2,65.6,55.400000000000006,12.8,26.3,104.89783552823954
Vanderbilt,Vanderbilt,South,5,R64_S3,False,,34,76.5,86.4,75.2,11.200000000000003,47.53,35.53,79.27,35.32,16.4,9.5,1.72,22.83,11.68,70.8,121.1,59.599999999999994,50.3,56.2,55.300000000000004,11.6,31.2,109.22065508161421
North Carolina,North Carolina,South,6,R64_S5,False,,32,75.0,79.8,71.3,8.5,47.28,34.46,68.41,38.03,16.0,9.7,1.65,19.39,10.92,68.8,116.0,57.199999999999996,52.6,57.0,54.6,12.2,31.4,101.96531890301549
Saint Mary's,Saint Mary's (CA),South,7,R64_S7,False,,32,84.4,78.2,64.6,13.600000000000009,46.13,38.86,80.54,40.34,15.5,10.8,1.43,17.87,5.54,66.5,117.6,57.8,58.1,58.1,53.2,13.8,37.8,107.59577123764255
Clemson,Clemson,South,8,R64_S2,False,,34,70.6,74.1,66.7,7.3999999999999915,45.33,34.11,72.6,34.29,12.8,9.4,1.36,16.99,9.57,65.5,112.4,56.2,51.4,50.2,52.6,12.5,28.1,94.44704068056825
Iowa,Iowa,South,9,R64_S2,False,,33,63.6,75.2,66.0,9.200000000000003,49.13,35.72,77.0,29.42,15.3,9.7,1.58,19.0,9.76,63.4,118.2,60.0,50.8,58.0,56.599999999999994,13.4,30.1,101.88188829044495
Texas A&M,Texas A&M,South,10,R64_S7,False,,32,65.6,87.7,79.6,8.100000000000009,45.81,36.19,73.7,37.72,18.1,10.8,1.67,16.76,8.6,72.5,118.2,57.699999999999996,49.9,61.3,54.2,12.5,32.3,101.2518855162812
VCU,VCU,South,11,R64_S5,False,,34,79.4,81.6,71.5,10.099999999999994,46.05,36.69,73.93,36.68,14.1,10.5,1.34,13.19,3.11,69.4,117.6,58.199999999999996,51.7,52.7,54.1,13.1,32.3,100.03319069042062
