team,ppg,opp_ppg,fg_pct,three_pt_pct,ft_pct,reb_pg,ast_pg,to_pg,ast_to_ratio,games,win_pct
Sacramento St.,77.7,82.0,42.05,33.33,77.68,34.29,13.0,10.4,1.24,31,32.3
Sacred Heart,75.2,76.6,43.43,35.85,77.7,34.88,14.9,12.1,1.23,33,42.4
Saint Francis,71.5,81.0,43.03,34.05,69.45,32.65,13.4,12.9,1.04,31,22.6
Saint Joseph's,73.3,69.8,42.95,30.85,74.34,38.79,15.6,11.7,1.33,33,66.7
Saint Louis,87.2,69.5,50.91,40.09,74.41,39.94,18.3,12.5,1.47,33,84.8
Saint Mary's (CA),78.2,64.6,46.13,38.86,80.54,40.34,15.5,10.8,1.43,32,84.4
Saint Peter's,70.8,68.4,41.17,31.89,73.32,35.69,13.0,11.6,1.12,29,58.6
Sam Houston,82.2,74.2,46.41,36.74,72.15,40.7,15.3,11.8,1.3,33,66.7
Samford,78.9,75.3,45.38,35.84,68.9,36.38,14.8,9.2,1.6,32,56.2
San Diego,74.5,77.9,44.44,35.31,75.59,31.73,16.1,12.5,1.29,33,36.4
San Diego St.,78.2,70.9,47.42,34.69,73.06,35.48,15.0,12.1,1.24,33,66.7
San Francisco,74.7,73.2,43.66,34.73,71.31,36.06,13.9,10.9,1.28,33,51.5
San Jose St.,72.0,78.5,43.69,35.82,73.14,29.7,10.7,10.1,1.06,33,27.3
Santa Clara,82.9,72.4,46.8,34.61,73.56,35.71,16.8,10.8,1.55,34,76.5
Seattle U,71.9,67.0,43.94,32.78,70.44,32.94,13.3,11.6,1.15,33,60.6
Seton Hall,70.3,65.3,43.55,30.49,72.27,35.76,13.1,11.1,1.18,33,63.6
Siena,70.5,65.7,45.7,30.45,76.86,34.41,13.4,10.3,1.3,34,67.6
South Alabama,74.6,69.8,46.63,34.84,66.01,35.53,11.8,8.7,1.36,32,65.6
South Carolina,74.9,76.5,43.4,31.07,78.12,32.56,13.3,9.9,1.34,32,40.6
South Carolina St.,67.1,78.8,41.24,33.73,66.85,31.03,12.1,14.8,0.82,32,31.2
South Dakota,79.6,80.2,45.12,33.18,73.7,34.41,12.3,11.8,1.04,32,50.0
South Dakota St.,75.4,72.8,46.0,34.4,71.1,37.31,14.3,11.1,1.29,32,43.8
South Fla.,87.7,75.5,43.89,33.19,74.38,42.73,17.2,11.2,1.54,33,75.8
Southeast Mo. St.,74.5,70.6,44.97,30.33,69.65,34.06,12.5,11.8,1.06,33,60.6
Southeastern La.,65.0,70.5,41.38,28.29,68.44,32.0,11.6,12.4,0.94,31,29.0
Southern California,78.6,77.9,45.39,31.39,72.36,36.5,15.3,12.5,1.23,32,56.2
Southern Ill.,73.0,69.6,45.22,27.78,67.86,38.22,13.5,12.0,1.12,32,50.0
