season,round,team_a,team_b,label,seed_gap,scoring_margin_gap,win_pct_gap,fg_pct_gap,three_pt_pct_gap,ft_pct_gap,reb_pg_gap,ast_pg_gap,tov_pg_gap,ast_to_ratio_gap,srs_gap,sos_gap,pace_gap,off_rtg_gap,ts_pct_gap,trb_pct_gap,ast_pct_gap,efg_pct_gap,tov_pct_rate_gap,orb_pct_gap
2010,Round of 64,Texas,Wake Forest,0,1,7.886148007590132,6.099999999999994,3.200000000000003,3.6999999999999993,-2.4000000000000057,-0.21726755218216454,2.479127134724859,-1.5464895635673628,0.2704398198989677,7.109999999999999,-1.4699999999999998,3.1999999999999886,8.299999999999997,3.0,0.7999999999999972,3.200000000000003,4.100000000000001,-2.099999999999998,0.10000000000000142
2010,Round of 64,Wake Forest,Texas,1,-1,-7.886148007590132,-6.099999999999994,-3.200000000000003,-3.6999999999999993,2.4000000000000057,0.21726755218216454,-2.479127134724859,1.5464895635673628,-0.2704398198989677,-7.109999999999999,1.4699999999999998,-3.1999999999999886,-8.299999999999997,-3.0,-0.7999999999999972,-3.200000000000003,-4.100000000000001,2.099999999999998,-0.10000000000000142
2010,Round of 64,Temple,Cornell,0,7,-3.7109243697479,-2.4000000000000057,-4.399999999999999,-9.299999999999997,-4.1000000000000085,2.8058823529411754,-1.2563025210084042,-1.9478991596638657,0.12695328313496868,3.6799999999999997,5.18,-2.8000000000000043,-13.0,-8.599999999999994,0.3999999999999986,1.0,-7.699999999999996,-2.1000000000000014,-0.8999999999999986
2010,Round of 64,Cornell,Temple,1,-7,3.7109243697479,2.4000000000000057,4.399999999999999,9.299999999999997,4.1000000000000085,-2.8058823529411754,1.2563025210084042,1.9478991596638657,-0.12695328313496868,-3.6799999999999997,-5.18,2.8000000000000043,13.0,8.599999999999994,-0.3999999999999986,-1.0,7.699999999999996,2.1000000000000014,0.8999999999999986
2010,Round of 64,Wisconsin,Wofford,1,9,2.3532467532467534,-1.5999999999999943,0.29999999999999716,0.6999999999999957,6.299999999999997,-3.5142857142857125,-0.9151515151515159,-3.1281385281385283,0.29820169017833376,13.41,10.23,-5.299999999999997,5.8999999999999915,1.7000000000000028,-0.9000000000000057,-3.6999999999999957,1.8999999999999986,-3.0,-3.400000000000002
2010,Round of 64,Wofford,Wisconsin,0,-9,-2.3532467532467534,1.5999999999999943,-0.29999999999999716,-0.6999999999999957,-6.299999999999997,3.5142857142857125,0.9151515151515159,3.1281385281385283,-0.29820169017833376,-13.41,-10.23,5.299999999999997,-5.8999999999999915,-1.7000000000000028,0.9000000000000057,3.6999999999999957,-1.8999999999999986,3.0,3.400000000000002
2010,Round of 64,Marquette,Washington,0,5,-0.7810457516339859,-7.5,0.20000000000000284,7.699999999999996,2.0999999999999943,-6.388888888888886,0.8709150326797381,-2.3954248366013076,0.34219115654637267,-0.47000000000000064,0.7400000000000002,-8.399999999999991,3.4000000000000057,2.3999999999999915,-3.5,8.600000000000001,3.1000000000000014,-1.0,-5.699999999999999
2010,Round of 64,Washington,Marquette,1,-5,0.7810457516339859,7.5,-0.20000000000000284,-7.699999999999996,-2.0999999999999943,6.388888888888886,-0.8709150326797381,2.3954248366013076,-0.34219115654637267,0.47000000000000064,-0.7400000000000002,8.399999999999991,-3.4000000000000057,-2.3999999999999915,3.5,-8.600000000000001,-3.1000000000000014,1.0,5.699999999999999
2010,Round of 64,New Mexico,Montana,1,11,0.2821428571428566,16.900000000000006,-4.5,-3.000000000000007,-5.3999999999999915,5.7357142857142875,1.8249999999999993,-1.130357142857143,0.26885311071357587,8.56,6.1899999999999995,4.300000000000004,1.5,-3.799999999999997,1.3999999999999986,5.899999999999999,-4.200000000000003,-3.299999999999999,4.799999999999997
2010,Round of 64,Montana,New Mexico,0,-11,-0.2821428571428566,-16.900000000000006,4.5,3.000000000000007,5.3999999999999915,-5.7357142857142875,-1.8249999999999993,1.130357142857143,-0.26885311071357587,-8.56,-6.1899999999999995,-4.300000000000004,-1.5,3.799999999999997,-1.3999999999999986,-5.899999999999999,4.200000000000003,3.299999999999999,-4.799999999999997
